path,coef,se,pval,CI[2.5%],CI[97.5%],sig
Empathy ~ X,0.24657534246575366,0.20554328643368353,0.23236984728366006,-0.1598989986672589,0.6530496835987663,No
Y ~ Empathy,0.5052264808362372,0.07665063656873755,8.837150223657594e-10,0.3536451884608429,0.6568077732116315,Yes
Total,0.6292939936775562,0.20518645580197933,0.0026099060884992443,0.22352530680567095,1.0350626805494416,Yes
Direct,0.5100583510235476,0.1811201505565326,0.00558966733376731,0.1518584280184615,0.8682582740286336,Yes
Indirect,0.11923564265401222,0.10198269741056394,0.2256,-0.07125093615413552,0.3378603333187082,No
