,sum_sq,df,F,PR(>F)
C(Interface_Condition),8.479924749398574,1.0,5.6889034024412375,0.018296634446253422
C(Age_Group),7.713463097533888,2.0,2.587354708735927,0.07850738159244783
C(Interface_Condition):C(Age_Group),2.179371999238291,2.0,0.7310345992475464,0.4830844447162992
Residual,228.06301933360757,153.0,,
