,sum_sq,df,F,PR(>F)
C(Interface_Condition),1.084134824367981,1.0,0.7396734572999637,0.39111112445711504
C(Age_Group),10.947047310796322,2.0,3.734424976304696,0.026091727725636536
C(Interface_Condition):C(Age_Group),0.22521405074277576,2.0,0.0768284773264029,0.9260843813177723
Residual,224.25115635997992,153.0,,
