,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,3.3243243243243232,0.2312396656157534,14.376098994401291,6.216114218037456e-29,2.86697255738198,3.7816760912666663
Version[T.Static],0.35009428032683887,0.3154082860219783,1.1099717282076844,0.2689991161602588,-0.2737283520761563,0.973916912729834
Gender[T.male],0.1478978978978982,0.3292854281811616,0.44914801943962684,0.6540504599453962,-0.5033713037159295,0.7991670995117259
Version[T.Static]:Gender[T.male],0.04131986108730379,0.4943372471664492,0.08358638019722374,0.9335100362522587,-0.9363930795319416,1.0190328017065493
