,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,2.6216216216216193,0.19539805742481528,13.416825408463232,1.502280721407503e-26,2.235158310569968,3.0080849326732704
Version[T.Static],1.029541169076054,0.2665207382145015,3.862893281675731,0.0001737286999363191,0.5024095879755676,1.5566727501765407
Gender[T.male],0.4894894894894888,0.27824695574423175,1.759190817309189,0.0808275170761665,-0.06083450668603074,1.0398134856650083
Version[T.Static]:Gender[T.male],-0.9588340983689789,0.41771612820769666,-2.2954203431959126,0.023262206095619416,-1.785003816299454,-0.13266438043850393
